name,city,iata,lat,lng,rank
Hartsfield Jackson Atlanta International,Atlanta,ATL,33.63669968,-84.42810059,1
Los Angeles International,Los Angeles,LAX,33.94250107,-118.4079971,2
Chicago O'Hare International,Chicago,ORD,41.97859955,-87.90480042,3
Dallas Fort Worth International,Dallas-Fort Worth,DFW,32.89680099,-97.03800201,4
John F Kennedy International,New York,JFK,40.63980103,-73.77890015,5
Denver International,Denver,DEN,39.86169815,-104.6729965,6
San Francisco International,San Francisco,SFO,37.61899948,-122.375,7
Charlotte Douglas International,Charlotte,CLT,35.2140007,-80.94309998,8
McCarran International,Las Vegas,LAS,36.08010101,-115.1520004,9
Phoenix Sky Harbor International,Phoenix,PHX,33.43429947,-112.012001,10
Miami International,Miami,MIA,25.79319954,-80.29060364,11
George Bush Intercontinental Houston,Houston,IAH,29.9843998,-95.34140015,12
Seattle Tacoma International,Seattle,SEA,47.44900131,-122.3089981,13
Orlando International,Orlando,MCO,28.42939949,-81.30899811,14
Newark Liberty International,Newark,EWR,40.69250107,-74.16870117,15
Minneapolis-St Paul International/Wold-Chamberlain,Minneapolis,MSP,44.88199997,-93.22180176,16
General Edward Lawrence Logan International,Boston,BOS,42.36429977,-71.00520325,17
Detroit Metropolitan Wayne County,Detroit,DTW,42.21239853,-83.35340118,18
Philadelphia International,Philadelphia,PHL,39.87189865,-75.2410965,19
La Guardia,New York,LGA,40.77719879,-73.87259674,20
Fort Lauderdale Hollywood International,Fort Lauderdale,FLL,26.07259941,-80.15270233,21
Baltimore/Washington International Thurgood Marshall,Baltimore,BWI,39.17539978,-76.66829681,22
Ronald Reagan Washington National,Washington,DCA,38.8521,-77.037697,23
Chicago Midway International,Chicago,MDW,41.7859993,-87.75240326,24
Salt Lake City International,Salt Lake City,SLC,40.78839874,-111.9779968,25
Washington Dulles International,Washington,IAD,38.94449997,-77.45580292,26
San Diego International,San Diego,SAN,32.73360062,-117.1900024,27
Honolulu International,Honolulu,HNL,21.31870079,-157.9219971,28
Tampa International,Tampa,TPA,27.97550011,-82.53320313,29
Portland International,Portland,PDX,45.58869934,-122.5979996,30
Dallas Love Field,Dallas,DAL,32.8470993,-96.85179901,31
Lambert St Louis International,St. Louis,STL,38.74869919,-90.37000275,32
William P Hobby,Houston,HOU,29.64539909,-95.27890015,33
Austin Bergstrom International,Austin,AUS,30.19449997,-97.66989899,34
Nashville International,Nashville,BNA,36.12450027,-86.67819977,35
Metropolitan Oakland International,Oakland,OAK,37.72129822,-122.2210007,36
Louis Armstrong New Orleans International,New Orleans,MSY,29.99340057,-90.25800323,37
Kansas City International,Kansas City,MCI,39.2976,-94.713898,38
Raleigh Durham International,Raleigh-Durham,RDU,35.87760162,-78.78749847,39
John Wayne Airport-Orange County,Santa Ana,SNA,33.67570114,-117.8679962,40
Norman Y. Mineta San Jose International,San Jose,SJC,37.36259842,-121.9290009,41
Sacramento International,Sacramento,SMF,38.69540024,-121.5910034,42
Southwest Florida International,Fort Myers,RSW,26.53619957,-81.75520325,43
San Antonio International,San Antonio,SAT,29.53370094,-98.46980286,44
Cleveland Hopkins International,Cleveland,CLE,41.4117012,-81.84980011,45
Pittsburgh International,Pittsburgh,PIT,40.49150085,-80.23290253,46
Indianapolis International,Indianapolis,IND,39.7173,-86.294403,47
Port Columbus International,Columbus,CMH,39.9980011,-82.89189911,48
General Mitchell International,Milwaukee,MKE,42.94720078,-87.89659882,49
Kahului,Kahului,OGG,20.89859962,-156.4299927,50
